Width-Items;Thread1(s);Thread2(s);Thread3(s);Thread4(s)
10000-5000000;3,94296;3,97375;4,06841;4,09124
1000-5000000;3,55242;3,4754;3,60784;3,75814
100-5000000;3,21171;3,24653;3,32202;3,35895
10000-500000;0,367914;0,406316;0,419768;0,39144
1000-500000;0,341187;0,362079;0,38648;0,34897
100-500000;0,323084;0,301135;0,343742;0,325999
10000-50000;0,033427;0,0384061;0,0388298;0,037977
1000-50000;0,0323009;0,0333571;0,037746;0,0337291
100-50000;0,0331209;0,028718;0,029211;0,035552
10000-5000;0,00540996;0,00711584;0,00731587;0,00723505
1000-5000;0,00622487;0,00889516;0,00900698;0,00878596
100-5000;0,00535703;0,00580478;0,00732899;0,0057261
10000-500;0,000771999;0,00199389;0,00217104;0,00207186
1000-500;0,000574827;0,000845194;0,000808001;0,000899076
100-500;0,000648022;0,0011251;0,00128603;0,00734186
10000-50;0,000123978;0,00030899;0,000327826;0,000322104
1000-50;0,000113964;0,000295877;0,000358105;0,000360012
100-50;0,000102997;0,000335932;0,000317812;0,000347137
05-05;6,10E-05;0,000209093;0,000196218;0,000247955
