Width 	Items 		Result 	ProblemSolvingTime(s) TotalTime(s) 	Nthreads 	SpeeUp(s)
10000 	5000000 	168552 	2,88059 			3,94296 	1 			1
10000 	5000000 	168552 	2,78961 			3,97375 	2 			0,992251651463
10000 	5000000 	168552 	2,87011 			4,06841 	3 			0,969164858016
10000 	5000000 	168552 	2,7923 				4,09124 	4 			0,963756709457
1000 	5000000 	89873 	2,51427 			3,55242 	1 			1
1000 	5000000 	89873 	2,44587 			3,4754 		2 			1,02216147782
1000 	5000000 	89873 	2,52073 			3,60784 	3 			0,984639008382
1000 	5000000 	89873 	2,44983 			3,75814 	4 			0,94526015529
100 	5000000 	9900 	2,24839 			3,21171 	1 			1
100 	5000000 	9900 	2,18033 			3,24653 	2 			0,989274702529
100 	5000000 	9900 	2,24354 			3,32202 	3 			0,966794299854
100 	5000000 	9900 	2,19005 			3,35895 	4 			0,956164872951
10000 	500000 		55981 	0,259102 			0,367914 	1 			1
10000 	500000 		55981 	0,255678 			0,406316 	2 			0,90548735467
10000 	500000 		55981 	0,263833 			0,419768 	3 			0,876469859541
10000 	500000 		55981 	0,259486 			0,39144 	4 			0,939898835071
1000 	500000 		45660 	0,2351 				0,341187 	1 			1
1000 	500000 		45660 	0,233014 			0,362079 	2 			0,942299884832
1000 	500000 		45660 	0,240457 			0,38648 	3 			0,882806354792
1000 	500000 		45660 	0,23678 			0,34897 	4 			0,977697223257
100 	500000 		9829 	0,206648 			0,323084 	1 			1
100 	500000 		9829 	0,200429 			0,301135 	2 			1,07288757534
100 	500000 		9829 	0,206873 			0,343742 	3 			0,93990260137
100 	500000 		9829 	0,204034 			0,325999 	4 			0,99105825478
10000 	50000 		18820 	0,0226629 			0,033427 	1 			1
10000 	50000 		18820 	0,022748 			0,0384061 	2 			0,870356531905
10000 	50000 		18820 	0,0235188 			0,0388298 	3 			0,860859443005
10000 	50000 		18820 	0,023504 			0,037977 	4 			0,880190641704
1000 	50000 		16810 	0,0217659 			0,0323009 	1 			1
1000 	50000 		16810 	0,0217502 			0,0333571 	2 			0,968336576021
1000 	50000 		16810 	0,022182 			0,037746 	3 			0,855743654957
1000 	50000 		16810 	0,022476 			0,0337291 	4 			0,957656741508
100 	50000 		8993 	0,0214388 			0,0331209 	1 			1
100 	50000 		8993 	0,019073 			0,028718 	2 			1,15331499408
100 	50000 		8993 	0,019474 			0,029211 	3 			1,13385026189
100 	50000 		8993 	0,0197148 			0,035552 	4 			0,931618474347
10000 	5000 		5858 	0,00337911 			0,00540996 	1 			1
10000 	5000 		5858 	0,00485992 			0,00711584 	2 			0,76027004542
10000 	5000 		5858 	0,00495291 			0,00731587 	3 			0,739482795621
10000 	5000 		5858 	0,00497508 			0,00723505 	4 			0,747743277517
1000 	5000 		5296 	0,00409102 			0,00622487 	1 			1
1000 	5000 		5296 	0,00668406 			0,00889516 	2 			0,699804163163
1000 	5000 		5296 	0,00679398 			0,00900698 	3 			0,691116223196
1000 	5000 		5296 	0,00659609 			0,00878596 	4 			0,708501973603
100 	5000 		4801 	0,00338817 			0,00535703 	1 			1
100 	5000 		4801 	0,00360179 			0,00580478 	2 			0,922865293775
100 	5000 		4801 	0,00519085 			0,00732899 	3 			0,730937004962
100 	5000 		4801 	0,00371504 			0,0057261 4 0,			935546008627
10000 	500 		1728 	0,000542164 		0,000771999 1 			1
10000 	500 		1728 	0,00175691 			0,00199389 	2 			0,387182342055
10000 	500 		1728 	0,00182796 			0,00217104 	3 			0,355589487066
10000 	500 		1728 	0,00182295 			0,00207186 	4 			0,372611566419
1000 	500 		1722 	0,000349998 		0,000574827 1 			1
1000 	500 		1722 	0,000558138 		0,000845194 2 			0,680112494883
1000 	500 		1722 	0,000565052 		0,000808001 3 			0,711418673987
1000 	500 		1722 	0,000666857 		0,000899076 4 			0,639353069151
100 	500 		1782 	0,00039506 			0,000648022 1 			1
100 	500 		1782 	0,000915051 		0,0011251 	2 			0,575968358368
100 	500 		1782 	0,00102615 			0,00128603 	3 			0,503893377293
100 	500 		1782 	0,00712991 			0,00734186 	4 			0,0882640093927
10000 	50 			546 	8,79765e-05 		0,000123978 1 			1
10000 	50 			546 	0,000272989 		0,00030899 	2 			0,401236285964
10000 	50 			546 	0,000288963 		0,000327826 3 			0,37818232843
10000 	50 			546 	0,000283003 		0,000322104 4 			0,384900529022
1000 	50 			533 	7,89165e-05 		0,000113964 1 			1
1000 	50 			533 	0,000261068 		0,000295877 2 			0,385173568746
1000 	50 			533 	0,000322104 		0,000358105 3 			0,318241856439
1000 	50 			533 	0,000315905 		0,000360012 4 			0,316556114796
100 	50 			700 	7,00951e-05 		0,000102997 1 			1
100 	50 			700 	0,000289917 		0,000335932 2 			0,306600740626
100 	50 			700 	0,000283003 		0,000317812 3 			0,324081532478
100 	50 			700 	0,000311136 		0,000347137 4 			0,296704183075
5 		5 			129 	4,60148e-05 		6,10352e-05 1 			1
5 		5 			129 	0,000191927 		0,000209093 2 			0,291904559215
5 		5 			129 	0,000178099 		0,000196218 3 			0,311058108838
5 		5 			129 	0,000231028 		0,000247955 4 			0,246154342522
